"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"401"	"breathe"	NA	"occurrence"	"Edwards"	NA
"402"	"breathe"	NA	"occurrence"	"Edwards"	NA
"403"	"bug"	NA	"mental"	"Edwards"	NA
"404"	"build up"	NA	"occurrence"	"Edwards"	NA
"405"	"chase"	NA	"activity"	"Edwards"	NA
"406"	"chat"	NA	"communication"	"Edwards"	NA
"407"	"come to an end"	NA	"aspectual"	"Edwards"	NA
"408"	"communicate"	NA	"communication"	"Edwards"	NA
"409"	"compel"	NA	"facilitation_causation"	"Edwards"	NA
"410"	"compete"	NA	"activity"	"Edwards"	NA
"411"	"conceive"	NA	"mental"	"Edwards"	NA
"412"	"condemn"	NA	"mental"	"Edwards"	NA
"413"	"contemplate"	NA	"mental"	"Edwards"	NA
"414"	"converse"	NA	"communication"	"Edwards"	NA
"415"	"cook"	NA	"activity"	"Edwards"	NA
"416"	"cope"	NA	"mental"	"Edwards"	NA
"417"	"cost"	NA	"existence_relationship"	"Edwards"	NA
"418"	"create"	NA	"activity"	"Edwards"	NA
"419"	"cry"	NA	"activity"	"Edwards"	NA
"420"	"dance"	NA	"activity"	"Edwards"	NA
"421"	"deal"	NA	"mental"	"Edwards"	NA
"422"	"decrease"	NA	"occurrence"	"Edwards"	NA
"423"	"describe"	NA	"communication"	"Edwards"	NA
"424"	"desire"	NA	"mental"	"Edwards"	NA
"425"	"die "	NA	"mental"	"Edwards"	NA
"426"	"disclose"	NA	"communication"	"Edwards"	NA
"427"	"do"	NA	"activity"	"Edwards"	NA
"428"	"draw"	NA	"activity"	"Edwards"	NA
"429"	"dread"	NA	"mental"	"Edwards"	NA
"430"	"drink"	NA	"activity"	"Edwards"	NA
"431"	"drive"	NA	"activity"	"Edwards"	NA
"432"	"dwindle"	NA	"mental"	"Edwards"	NA
