words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
indicate,1,0.419163163,0.08,1.34,X.BNC_prog_count.,0,0.65,4
inspect,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
inspire,0,2.576901534,0.15,2.43,X.BNC_non_prog.,0,-0.06,0.31
insure,1,0.56854876,0.09,1.48,X.BNC_prog_count.,0,0.58,3.69
interact,1,0.456509562,0.09,1.37,X.BNC_prog_count.,0,0.63,3.91
interrogate,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
interview,0,6.498273432,0.38,6.12,X.BNC_non_prog.,0,-0.06,0.79
invite,1,23.64862336,1.45,23.2,X.BNC_non_prog.,0,-0.02,0.16
jog,0,1.083045572,0.06,1.02,X.BNC_non_prog.,0,-0.06,0.13
join,0,19.3454347,1.14,18.21,X.BNC_non_prog.,0,-0.06,2.34
joke,15,0,0.88,14.12,X.BNC_prog_count.,0,0.94,85.12
judge,1,5.685005428,0.39,6.29,X.BNC_prog_count.,0,0.09,0.72
juggle,0,1.120391971,0.07,1.05,X.BNC_non_prog.,0,-0.06,0.14
jump,1,19.76459786,1.22,19.55,X.BNC_non_prog.,0,-0.01,0.04
keep,10,185.0228958,11.45,183.57,X.BNC_non_prog.,0,-0.01,0.2
kick,3,15.82258511,1.11,17.72,X.BNC_prog_count.,0,0.1,2.41
kid,8,0,0.47,7.53,X.BNC_prog_count.,0,0.94,45.38
kill,3,34.15966704,2.18,34.98,X.BNC_prog_count.,0,0.02,0.29
kneel,0,0.261424793,0.02,0.25,X.BNC_non_prog.,0,-0.06,0.03
knock,4,14.29973553,1.07,17.23,X.BNC_prog_count.,0,0.16,5.2
land,0,7.543972606,0.44,7.1,X.BNC_non_prog.,0,-0.06,0.91
laugh,8,20.56999526,1.68,26.89,X.BNC_prog_count.,0,0.22,13.98
lay,1,10.39065171,0.67,10.72,X.BNC_prog_count.,0,0.03,0.15
lead,1,8.336599759,0.55,8.79,X.BNC_prog_count.,0,0.05,0.32
lean,1,2.249136716,0.19,3.06,X.BNC_prog_count.,0,0.25,1.93
learn,8,50.40976809,3.43,54.98,X.BNC_prog_count.,0,0.08,4.81
leave,13,178.3256023,11.23,180.09,X.BNC_prog_count.,0,0.01,0.28
let,5,219.8253222,13.2,211.63,X.BNC_non_prog.,0,-0.04,7.03
level,0,1.15773837,0.07,1.09,X.BNC_non_prog.,0,-0.06,0.14
lie,9,14.3788458,1.37,22.01,X.BNC_prog_count.,0,0.33,21.63
lift,0,8.253554187,0.48,7.77,X.BNC_non_prog.,0,-0.06,1
light,0,7.133162216,0.42,6.71,X.BNC_non_prog.,0,-0.06,0.86
link,1,4.340535062,0.31,5.03,X.BNC_prog_count.,0,0.13,1.05
listen,12,33.30118203,2.66,42.64,X.BNC_prog_count.,0,0.21,19.72
live,29,152.2794209,10.64,170.64,X.BNC_prog_count.,0.01,0.1,23.58
look,101,556.2592767,38.59,618.67,X.BNC_prog_count.,0.02,0.1,77.31
loop,0,0.074692798,0,0.07,X.BNC_non_prog.,0,-0.06,0.01
lose,7,77.36551543,4.95,79.41,X.BNC_prog_count.,0,0.02,0.8
love,4,171.3039971,10.29,165.01,X.BNC_non_prog.,0,-0.04,5.27
make,58,499.3950056,32.73,524.67,X.BNC_prog_count.,0.01,0.05,17.28
manage,3,32.70315748,2.1,33.61,X.BNC_prog_count.,0,0.03,0.37
march,0,1.120391971,0.07,1.05,X.BNC_non_prog.,0,-0.06,0.14
